Series,Forecast_Date,Forecast_Value,CI80_Lower,CI80_Upper,CI95_Lower,CI95_Upper,Model,Actual_Value
CPI YoY (%),2023-06-30,,,,,,Actual,6.0
CPI YoY (%),2023-09-30,,,,,,Actual,5.3
CPI YoY (%),2023-12-31,,,,,,Actual,4.1
CPI YoY (%),2024-03-31,,,,,,Actual,3.6
CPI YoY (%),2024-06-30,,,,,,Actual,3.8
CPI YoY (%),2024-09-30,,,,,,Actual,2.9
CPI YoY (%),2024-12-31,,,,,,Actual,2.4
CPI YoY (%),2025-03-31,,,,,,Actual,2.4
CPI YoY (%),2025-06-30,,,,,,Actual,2.1
CPI YoY (%),2025-09-30,,,,,,Actual,3.2
CPI YoY (%),2025-12-31,,,,,,Actual,3.6
CPI YoY (%),2026-03-31,,,,,,Actual,4.1
CPI YoY (%),2026-06-30,4.0444,3.1087,4.9801,2.6133,5.4755,"ARIMA((2, 1, 2))",
CPI YoY (%),2026-09-30,3.7606,2.3453,5.1759,1.5961,5.9251,"ARIMA((2, 1, 2))",
CPI YoY (%),2026-12-31,3.69,2.1105,5.2696,1.2743,6.1058,"ARIMA((2, 1, 2))",
CPI YoY (%),2027-03-31,3.5161,1.7778,5.2544,0.8576,6.1746,"ARIMA((2, 1, 2))",
CPI YoY (%),2027-06-30,3.4517,1.6374,5.2661,0.6769,6.2265,"ARIMA((2, 1, 2))",
CPI YoY (%),2027-09-30,3.3423,1.4587,5.2259,0.4616,6.223,"ARIMA((2, 1, 2))",
CPI YoY (%),2027-12-31,3.2902,1.3678,5.2126,0.3501,6.2302,"ARIMA((2, 1, 2))",
CPI YoY (%),2028-03-31,3.2197,1.2639,5.1755,0.2286,6.2108,"ARIMA((2, 1, 2))",
Cash Rate (%),2025-06-30,,,,,,Actual,3.85
Cash Rate (%),2025-07-31,,,,,,Actual,3.85
Cash Rate (%),2025-08-31,,,,,,Actual,3.7
Cash Rate (%),2025-09-30,,,,,,Actual,3.6
Cash Rate (%),2025-10-31,,,,,,Actual,3.6
Cash Rate (%),2025-11-30,,,,,,Actual,3.6
Cash Rate (%),2025-12-31,,,,,,Actual,3.6
Cash Rate (%),2026-01-31,,,,,,Actual,3.6
Cash Rate (%),2026-02-28,,,,,,Actual,3.83
Cash Rate (%),2026-03-31,,,,,,Actual,3.96
Cash Rate (%),2026-04-30,,,,,,Actual,4.1
Cash Rate (%),2026-05-31,,,,,,Actual,4.31
Cash Rate (%),2026-06-30,4.4391,4.2765,4.6017,4.1904,4.6878,"ARIMA((2, 1, 2))",
Cash Rate (%),2026-07-31,4.5473,4.2606,4.8339,4.1089,4.9856,"ARIMA((2, 1, 2))",
Cash Rate (%),2026-08-31,4.6304,4.2118,5.0491,3.9902,5.2707,"ARIMA((2, 1, 2))",
Cash Rate (%),2026-09-30,4.6949,4.1442,5.2456,3.8527,5.5371,"ARIMA((2, 1, 2))",
Cash Rate (%),2026-10-31,4.7448,4.065,5.4246,3.7051,5.7845,"ARIMA((2, 1, 2))",
Cash Rate (%),2026-11-30,4.7834,3.9789,5.5879,3.553,6.0138,"ARIMA((2, 1, 2))",
Cash Rate (%),2026-12-31,4.8133,3.8892,5.7374,3.4001,6.2266,"ARIMA((2, 1, 2))",
Cash Rate (%),2027-01-31,4.8365,3.7981,5.8749,3.2484,6.4246,"ARIMA((2, 1, 2))",
GDP Growth YoY (%),2023-06-30,,,,,,Actual,2.3
GDP Growth YoY (%),2023-09-30,,,,,,Actual,2.2
GDP Growth YoY (%),2023-12-31,,,,,,Actual,1.3
GDP Growth YoY (%),2024-03-31,,,,,,Actual,1.1
GDP Growth YoY (%),2024-06-30,,,,,,Actual,0.9
GDP Growth YoY (%),2024-09-30,,,,,,Actual,0.8
GDP Growth YoY (%),2024-12-31,,,,,,Actual,1.2
GDP Growth YoY (%),2025-03-31,,,,,,Actual,1.3
GDP Growth YoY (%),2025-06-30,,,,,,Actual,2.0
GDP Growth YoY (%),2025-09-30,,,,,,Actual,2.1
GDP Growth YoY (%),2025-12-31,,,,,,Actual,2.5
GDP Growth YoY (%),2026-03-31,,,,,,Actual,2.5
GDP Growth YoY (%),2026-06-30,1.8137,0.3921,3.2353,-0.3604,3.9878,"ARIMA((2, 0, 2))",
GDP Growth YoY (%),2026-09-30,2.3414,0.7129,3.9699,-0.1492,4.8319,"ARIMA((2, 0, 2))",
GDP Growth YoY (%),2026-12-31,2.9354,0.9472,4.9236,-0.1053,5.9761,"ARIMA((2, 0, 2))",
GDP Growth YoY (%),2027-03-31,3.0047,1.0022,5.0072,-0.0579,6.0673,"ARIMA((2, 0, 2))",
GDP Growth YoY (%),2027-06-30,2.7544,0.7078,4.801,-0.3756,5.8844,"ARIMA((2, 0, 2))",
GDP Growth YoY (%),2027-09-30,2.5837,0.5078,4.6596,-0.5911,5.7585,"ARIMA((2, 0, 2))",
GDP Growth YoY (%),2027-12-31,2.6116,0.5357,4.6876,-0.5632,5.7865,"ARIMA((2, 0, 2))",
GDP Growth YoY (%),2028-03-31,2.7098,0.6264,4.7932,-0.4765,5.8961,"ARIMA((2, 0, 2))",
OO Housing Rate (%),2025-05-31,,,,,,Actual,5.8
OO Housing Rate (%),2025-06-30,,,,,,Actual,5.8
OO Housing Rate (%),2025-07-31,,,,,,Actual,5.8
OO Housing Rate (%),2025-08-31,,,,,,Actual,5.5
OO Housing Rate (%),2025-09-30,,,,,,Actual,5.5
OO Housing Rate (%),2025-10-31,,,,,,Actual,5.5
OO Housing Rate (%),2025-11-30,,,,,,Actual,5.5
OO Housing Rate (%),2025-12-31,,,,,,Actual,5.5
OO Housing Rate (%),2026-01-31,,,,,,Actual,5.5
OO Housing Rate (%),2026-02-28,,,,,,Actual,5.7
OO Housing Rate (%),2026-03-31,,,,,,Actual,5.9
OO Housing Rate (%),2026-04-30,,,,,,Actual,6.0
OO Housing Rate (%),2026-05-31,6.0787,5.9576,6.1998,5.8935,6.2639,"ARIMA((2, 1, 2))",
OO Housing Rate (%),2026-06-30,6.1562,5.9423,6.3702,5.829,6.4834,"ARIMA((2, 1, 2))",
OO Housing Rate (%),2026-07-31,6.2221,5.9285,6.5157,5.7731,6.6711,"ARIMA((2, 1, 2))",
OO Housing Rate (%),2026-08-31,6.2841,5.9054,6.6627,5.705,6.8631,"ARIMA((2, 1, 2))",
OO Housing Rate (%),2026-09-30,6.3384,5.8771,6.7997,5.6329,7.0439,"ARIMA((2, 1, 2))",
OO Housing Rate (%),2026-10-31,6.3884,5.8426,6.9342,5.5536,7.2231,"ARIMA((2, 1, 2))",
OO Housing Rate (%),2026-11-30,6.4328,5.8035,7.0622,5.4703,7.3954,"ARIMA((2, 1, 2))",
OO Housing Rate (%),2026-12-31,6.4734,5.7603,7.1865,5.3828,7.564,"ARIMA((2, 1, 2))",
Unemployment Rate (%),2025-05-31,,,,,,Actual,4.1
Unemployment Rate (%),2025-06-30,,,,,,Actual,4.3
Unemployment Rate (%),2025-07-31,,,,,,Actual,4.3
Unemployment Rate (%),2025-08-31,,,,,,Actual,4.3
Unemployment Rate (%),2025-09-30,,,,,,Actual,4.4
Unemployment Rate (%),2025-10-31,,,,,,Actual,4.3
Unemployment Rate (%),2025-11-30,,,,,,Actual,4.3
Unemployment Rate (%),2025-12-31,,,,,,Actual,4.1
Unemployment Rate (%),2026-01-31,,,,,,Actual,4.1
Unemployment Rate (%),2026-02-28,,,,,,Actual,4.3
Unemployment Rate (%),2026-03-31,,,,,,Actual,4.3
Unemployment Rate (%),2026-04-30,,,,,,Actual,4.5
Unemployment Rate (%),2026-05-31,4.4814,4.2574,4.7054,4.1388,4.824,"ARIMA((2, 1, 2))",
Unemployment Rate (%),2026-06-30,4.4548,4.1386,4.771,3.9712,4.9384,"ARIMA((2, 1, 2))",
Unemployment Rate (%),2026-07-31,4.426,4.0367,4.8153,3.8306,5.0214,"ARIMA((2, 1, 2))",
Unemployment Rate (%),2026-08-31,4.4013,3.9467,4.856,3.7061,5.0966,"ARIMA((2, 1, 2))",
Unemployment Rate (%),2026-09-30,4.386,3.8698,4.9021,3.5965,5.1754,"ARIMA((2, 1, 2))",
Unemployment Rate (%),2026-10-31,4.3829,3.8075,4.9582,3.503,5.2627,"ARIMA((2, 1, 2))",
Unemployment Rate (%),2026-11-30,4.3923,3.7604,5.0243,3.4259,5.3588,"ARIMA((2, 1, 2))",
Unemployment Rate (%),2026-12-31,4.4119,3.7266,5.0972,3.3639,5.46,"ARIMA((2, 1, 2))",
