Year,gdp_usd,gdp_growth,gdp_per_capita,cpi_inflation,unemployment,population,current_account,exports_pct_gdp,fdi_inflows,govt_debt_pct_gdp,Country,Country_Code
1965,5706251400.19577,6.11173186378382,2170.99809777651,3.39748975611084,,2628400.0,,,,,New Zealand,NZ
1966,5917437693.37459,6.24846226221023,2211.38222406465,2.75548077542815,,2675900.0,,,,,New Zealand,NZ
1967,6016017227.09124,-4.58942404013791,2208.44213762022,6.05692006267522,,2724100.0,,,,,New Zealand,NZ
1968,5228045415.27318,-0.0488485286226563,1902.42182426883,4.31192496550194,,2748100.0,,,,,New Zealand,NZ
1969,5814357708.51005,10.194671898837,2096.92646729301,4.92524242695133,,2772800.0,,,,,New Zealand,NZ
1970,6495605330.94411,-1.39760759972312,2311.02761979013,6.5171810515548,,2810700.0,,22.0872818032506,2.24767350479989,,New Zealand,NZ
1971,7911136757.06867,3.78545794493455,2772.9185969396,10.3875683188138,,2853000.0,,22.4945295404814,1.39044493070751,,New Zealand,NZ
1972,9567331064.65727,5.11910876628924,3294.64894268304,6.93280459206854,,2903900.0,,24.4537601626016,1.32419375,,New Zealand,NZ
1973,12802281897.8712,7.80027772802192,4323.19653458655,8.16666927326658,,2961300.0,,24.0082599717422,1.62197646994892,,New Zealand,NZ
1974,13940981798.1247,5.99344084900848,4610.57042634013,11.1094020122224,,3023700.0,,20.6231454005935,1.80482267062315,,New Zealand,NZ
1975,12861983284.3912,-1.73168330378346,4171.76973967475,14.6849834723994,,3083100.0,,23.1032665964173,1.07425112321268,,New Zealand,NZ
1976,13604832424.0062,0.928812368981127,4373.84099791231,16.906857005945,,3110500.0,,26.6828988828416,2.04074545901862,,New Zealand,NZ
1977,15446825318.4556,-3.93633757968402,4950.58820538927,14.3835494194622,,3120200.0,,26.1458799463019,0.999040234601611,,New Zealand,NZ
1978,18530518394.6488,0.31856336907461,5936.98526036423,11.9566179733303,,3121200.0,,26.644106034969,1.47723875916526,,New Zealand,NZ
1979,20731243113.2926,2.19177430217911,6668.1386662247,13.6995950156642,,3109000.0,,28.6287205257054,1.69087786045613,,New Zealand,NZ
1980,23244547384.6748,1.2842522054453,7467.16803773805,17.1505454240954,,3112900.0,,28.805115004567,1.43726855496685,,New Zealand,NZ
1981,24417617184.2478,4.65565399428766,7813.88754336067,15.3701595831853,,3124900.0,,27.9255319148936,0.724730746096148,,New Zealand,NZ
1982,24164603058.9949,0.929683828408145,7656.47573238963,16.1636941231018,,3156100.0,,27.7352462475134,1.13657566155909,,New Zealand,NZ
1983,24309279705.5731,3.49152501258526,7598.31203875006,7.34107586057345,,3199300.0,,28.4084457541431,1.00040124376391,,New Zealand,NZ
1984,21665975318.8842,4.79269943541195,6713.76013104154,6.17125347924442,,3227100.0,,31.8104582984325,0.536388549444195,,New Zealand,NZ
1985,24679795396.4194,1.61533460118027,7600.56524172937,15.4176555719917,,3247100.0,,29.3042342846484,0.913162316622756,,New Zealand,NZ
1986,30604668356.5695,2.70564214390055,9427.55394035348,13.2133980640021,,3246300.0,,26.6371024795955,1.27238137382041,,New Zealand,NZ
1987,40376354069.9474,0.970838684961976,12330.9168305483,15.7443007888927,,3274400.0,,26.1222174526277,0.587546173532724,,New Zealand,NZ
1988,45176811594.2029,-0.353677478990647,13759.1556295922,6.37524944411053,,3283400.0,,26.1930222279253,0.345138194493141,,New Zealand,NZ
1989,43920222524.7085,0.161414613910125,13312.3855858113,5.7159915513563,,3299200.0,,26.3501859537541,0.987184303994547,,New Zealand,NZ
1990,45495129385.0475,0.153140653942785,13663.0216184298,6.09844414810204,,3329800.0,,26.7618584733406,3.70317256544327,,New Zealand,NZ
1991,42745329732.163,-1.09079322533503,12230.0734548834,2.60239285999773,10.614,3495100.0,,29.1613463740835,3.95684412916661,,New Zealand,NZ
1992,41649829859.6342,1.09383475591748,11793.1392416214,1.01456027171236,10.667,3531700.0,,31.1916767728346,2.61273593113678,,New Zealand,NZ
1993,46775620817.4327,6.39152850429893,13094.3454502639,1.28820776574386,9.804,3572200.0,,30.6024238841265,4.72858008369968,,New Zealand,NZ
1994,55314732279.1379,5.11924841488023,15280.3127842922,1.74537790773743,8.354,3620000.0,,30.7781456953642,4.7304408648234,,New Zealand,NZ
1995,63918703506.9075,4.72208114777668,17400.4201848172,3.75494413677554,6.461,3673400.0,,29.3933663078266,4.4587292664533,,New Zealand,NZ
1996,70140835299.0148,3.61187886151062,18794.436039393,2.28571305402195,6.29,3732000.0,,28.3488788439284,5.58678410842227,,New Zealand,NZ
1997,66075143415.4952,2.07927288651346,17474.187029724,1.18714833105632,6.857,3781300.0,,28.3203739922721,2.90193360299289,,New Zealand,NZ
1998,56227169851.0448,0.858406352198429,14738.4455703918,1.26524409915406,7.718,3815000.0,,29.6173216258214,3.24713618849531,,New Zealand,NZ
1999,58762260625.8758,5.37772890780957,15322.2238340267,-0.114267129777524,7.023,3835100.0,,30.9505515371504,1.60215774541769,,New Zealand,NZ
2000,52623281956.7031,2.87005108790095,13641.1027183822,2.6152344624632,6.13,3857700.0,-3.30284871216651,35.7454584901409,-2.86529455631185,,New Zealand,NZ
2001,53872425916.6248,3.41099312247906,13882.8568268586,2.62581630392903,5.433,3880500.0,-0.776440240634347,35.4310398408851,0.481362352602511,,New Zealand,NZ
2002,66627729311.4495,4.71347767117496,16874.1874918196,2.67709257711605,5.282,3948500.0,-2.09521936295547,32.8470717038637,4.27533253207986,32.7763842551838,New Zealand,NZ
2003,88250885550.2626,4.72804204913962,21913.7081719961,1.75357444759557,4.745,4027200.0,-2.40599179153862,29.8397254017245,-3.81179323818466,48.2453384728239,New Zealand,NZ
2004,103905210084.034,4.08796484025709,25420.234882944,2.29024902847571,4.005,4087500.0,-4.50791009901216,29.5434106069527,2.2326303912504,43.8675166117793,New Zealand,NZ
2005,114720129550.095,3.35292760405062,27751.0654708859,3.03702332617012,3.807,4133900.0,-6.99536794869389,28.2851654320382,1.66201517661775,44.1698490827743,New Zealand,NZ
2006,111538810712.665,2.77978059105617,26654.5932018985,3.36540196171993,3.857,4184600.0,-7.06517341361543,29.6086137531685,2.61132933725814,42.9524894769889,New Zealand,NZ
2007,137188946865.584,3.05641638984955,32479.9817381467,2.37614310290659,3.661,4223800.0,-6.79701754359096,29.2731139479196,3.16024444752482,36.9753526219646,New Zealand,NZ
2008,133437126590.286,-1.01703846933975,31324.7397977102,3.9589493731206,4.167,4259800.0,-7.69181610885173,32.0052043552236,1.94246279372292,36.0132953366238,New Zealand,NZ
2009,121663439315.385,-0.0374661120713,28276.7255416225,2.1156511055456,6.121,4302600.0,-2.47419947301186,28.6654584101329,-0.0430577448192459,31.8653341616565,New Zealand,NZ
2010,146887902524.052,1.45863634911349,33761.9009639947,2.30202385958572,6.557,4350700.0,-2.33469330577729,30.197296130602,0.194915236759354,34.7227798053528,New Zealand,NZ
2011,168484908960.078,2.09349621669912,38431.7766788499,4.0279066739204,6.491,4384000.0,-2.86247732029099,30.3601069067379,0.818121298166467,48.0816617433301,New Zealand,NZ
2012,176560711239.147,2.36630664656174,40053.6991536369,1.05991318445632,6.931,4408100.0,-3.90081294586841,28.8015197819443,2.17878824315978,51.5541055220579,New Zealand,NZ
2013,191012364176.878,2.58954199031598,43000.4646849189,1.13442266445817,5.839,4442100.0,-3.05577074462661,28.7976232386808,-0.0363955159235945,46.4245970754158,New Zealand,NZ
2014,201518402787.38,3.82638491760299,44618.266973847,1.227507505974,5.428,4516500.0,-3.08852510613802,27.9544041792052,1.61353184490057,43.8708941737301,New Zealand,NZ
2015,178224167087.99,3.69036908387233,38665.3723018158,0.292704628136101,5.415,4609400.0,-2.6162133105434,27.9337478332662,-0.0411688255414608,42.9013651890488,New Zealand,NZ
2016,189100085275.23,3.77911068354334,40113.7195382428,0.646240284454524,5.147,4714100.0,-2.15354137286067,26.6113743203496,1.0619303911252,41.3592419573932,New Zealand,NZ
2017,206745969246.073,3.37873219470765,42950.3841711138,1.85078767452536,4.736,4813600.0,-2.91839840958751,27.5634416584186,1.15602540847251,38.629234026174,New Zealand,NZ
2018,211985631173.205,3.47058203866328,43257.0769238879,1.59829703801696,4.335,4900600.0,-4.15932869648256,27.8656152284463,1.15882897654923,36.6067773375025,New Zealand,NZ
2019,213006341101.869,2.31747144034802,42855.831861632,1.61963190184048,4.109,4970300.0,-2.82165942136874,27.3298341875002,1.44357026927529,32.7713136024397,New Zealand,NZ
2020,213029554653.687,-0.307246896026541,41997.7830324279,1.71456170007245,4.595,5072400.0,-1.08410494847097,21.6971482843436,2.25342351216777,45.7367082288191,New Zealand,NZ
2021,253977931814.967,4.53540565716095,49950.4251691316,3.94112060778728,3.776,5084600.0,-5.6435958635433,22.3098859845046,2.08859937451458,51.305380228031,New Zealand,NZ
2022,249509991440.438,3.49638686458842,49099.7090423358,7.17222476016441,3.299,5081700.0,-8.75909130046907,24.0473873191656,3.93040138256791,53.9638193955627,New Zealand,NZ
2023,255194972673.122,1.39425181563566,49075.9562832927,5.73316283034957,3.734,5200000.0,-6.17823205561682,23.7150117429638,1.72217162155153,50.1080559619605,New Zealand,NZ
2024,260172385097.616,1.28862004711685,49205.1792146792,2.92279782301957,4.724,5287500.0,-4.65310184058939,24.805238610326,0.676410624636643,52.2498447259151,New Zealand,NZ
2025,,,,,5.076,,,,,,New Zealand,NZ
